location,movie,year,lat,lon
Kiev Ukraine,Good Morning Britain ,2014,50.4500644,30.5241037
L'viv Ukraine,Koroleva igry ,2014,49.841952,24.0315921
Kyiv Ukraine,Labirinty sud'by ,2014,50.4500644,30.5241037
Kiev Ukraine,My Foreign Affair ,2014,50.4500644,30.5241037
Kiev Ukraine,Supernova Star Search ,2014,50.4500644,30.5241037
Crimea Ukraine,Verni moyu lyubov ,2014,50.4505946,30.5214288
Ukraine,A Shtetl in the Caribbean ,2014,49.4871968,31.2718321
Crimea Ukraine,Black Sea ,2014,50.4505946,30.5214288
Ukraine,Black Sea ,2014,49.4871968,31.2718321
Kiev Ukraine,Confessions of a Hollywood Stuntman ,2014,50.4500644,30.5241037
Chernobyl Ukraine,Decay ,2014,51.2705259,30.2194322
Drohobycz Ukraine,Die Gerechten unter den Vlkern - Retter und Helfer im Nationalsozialismus ,2014,49.3478421,23.5120740098895
Crimea Ukraine,Die Innere Zone ,2014,50.4505946,30.5214288
Ukraine,Femen: Naked War ,2014,49.4871968,31.2718321
Donetsk Ukraine,Film Look Test ,2014,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,Film Look Test ,2014,48.00503605,37.7973822509983
Ukraine,Firing Line 2014 ,2014,49.4871968,31.2718321
Lviv Ukraine,Free to Play ,2014,49.841952,24.0315921
Kiev Ukraine,From Career to Freedom ,2014,50.4500644,30.5241037
Kyiv Ukraine,Hollywood on the Dnieper. Dreams from Atlantis ,2014,50.4500644,30.5241037
Buchak village Ukraine,Hollywood on the Dnieper. Dreams from Atlantis ,2014,49.86591,31.43257
Okruhla Ukraine,I Am She Indeed ,2014,48.087498,23.6710269
Ukraine,Kids Rights ,2014,49.4871968,31.2718321
Kharkov Ukraine,Leningrad ,2014,49.99142545,36.2722660718121
Ukraine,Love Me ,2014,49.4871968,31.2718321
Kiev Ukraine,Maidan ,2014,50.4500644,30.5241037
Ukraine,Meine Mutter_ ein Krieg und ich ,2014,49.4871968,31.2718321
Dovzhenko Film Studios in Kyiv Ukraine,Mother. In the Name of the Millions ,2014,50.4560446,30.4495830546008
Ukraine,Mj Przyjaciel Wrg ,2014,49.4871968,31.2718321
School #186 Kiev Ukraine,Plemya ,2014,50.4539166,30.5204163
Kiev Ukraine,Plemya ,2014,50.4500644,30.5241037
Kharkiv Ukraine,Povodyr ,2014,49.99142545,36.2722660718121
Lviv Ukraine,Povodyr ,2014,49.841952,24.0315921
Kiev Ukraine,Povodyr ,2014,50.4500644,30.5241037
Crimea Ukraine,Republic Z ,2014,50.4505946,30.5214288
Odessa Ukraine,Solnechnyy udar ,2014,46.4852419,30.7433894
Ukraine,Solnechnyy udar ,2014,49.4871968,31.2718321
Kharkiv Ukraine,Stand ,2014,49.99142545,36.2722660718121
Sumy Ukraine,The Birth of an Artist ,2014,50.90091055,34.8087694703864
Donetsk Ukraine,The Conference ,2014,48.0158753,37.8013407
Donetsk National University Donetsk Ukraine,The Conference ,2014,48.00503605,37.7973822509983
Ukraine,The Doctor Leaves Last ,2014,49.4871968,31.2718321
Ukraine,The IBUR Connection ,2014,49.4871968,31.2718321
Chernobyl Ukraine,The Invisible City ,2014,51.2705259,30.2194322
Kharkov Ukraine,The Theory of Happiness ,2014,49.99142545,36.2722660718121
Ukraine,Toloka ,2014,49.4871968,31.2718321
Ukraine,Tristia: A Black Sea Odyssey ,2014,49.4871968,31.2718321
Kiev Ukraine,Trubach ,2014,50.4500644,30.5241037
Donetsk Ukraine,Unikal'noe pozdravlenie ,2014,48.0158753,37.8013407
Kyiv Ukraine,Unnamed Film Shot a Second Per Day ,2014,50.4500644,30.5241037
Donetsk Ukraine,Unnamed Goat Mechanic Review ,2014,48.0158753,37.8013407
Crimea Ukraine,Violoncello ,2014,50.4505946,30.5214288
Chernobyl Ukraine,Warm-Glow ,2014,51.2705259,30.2194322
