location,movie,year,lat,lon
Olympic Stadium Kiev Ukraine,2012 UEFA European Football Championship ,2012,50.4335445,30.5213369327756
Metalist Stadium Kharkiv Ukraine,2012 UEFA European Football Championship ,2012,49.980863,36.2615759631765
Arena Lviv Lviv Ukraine,2012 UEFA European Football Championship ,2012,49.8330602,23.9678158
Kiev Ukraine,Expert-studiya ,2012,50.4500644,30.5241037
Donetsk Ukraine,Expert-studiya ,2012,48.0158753,37.8013407
Donetsk Ukraine,Expert-studiya ,2012,48.0158753,37.8013407
Kiev Ukraine,Expert-studiya ,2012,50.4500644,30.5241037
Pripyat Ukraine,Guidestones ,2012,51.4010863,30.0663623
Kiev Ukraine,Guidestones ,2012,50.4500644,30.5241037
Pripyat Ukraine,Guidestones ,2012,51.4010863,30.0663623
Kiev Ukraine,Guidestones ,2012,50.4500644,30.5241037
Pripyat Ukraine,Guidestones ,2012,51.4010863,30.0663623
Ukraine,Kasta ,2012,49.4871968,31.2718321
Crimea Ukraine,Neravnyy brak ,2012,50.4505946,30.5214288
Odessa Ukraine,Sohvasurffaajat ,2012,46.4852419,30.7433894
Jalta Crimea Ukraine,Sohvasurffaajat ,2012,44.4970713,34.1586871
Kyiv Ukraine,Sotsial'niy pul's ,2012,50.4500644,30.5241037
Vinnytsia Ukraine,Sotsial'niy pul's ,2012,49.2320162,28.467975
Donetsk National University Donetsk Ukraine,Sotsial'niy pul's ,2012,48.00503605,37.7973822509983
Vinnytsia Ukraine,Sotsial'niy pul's ,2012,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Sotsial'niy pul's ,2012,49.2242641,28.4277918984125
Donetsk National University Donetsk Ukraine,Sotsial'niy pul's ,2012,48.00503605,37.7973822509983
Vinnytsia Ukraine,Sotsial'niy pul's ,2012,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Sotsial'niy pul's ,2012,49.2242641,28.4277918984125
Kyiv Ukraine,Sotsial'niy pul's ,2012,50.4500644,30.5241037
Povitroflots'kyi Ave 76 Kyiv Ukraine,Sotsial'niy pul's ,2012,50.41591195,30.4469944223041
Kyiv Ukraine,Sotsial'niy pul's ,2012,50.4500644,30.5241037
Kyiv Ukraine,Sotsial'niy pul's ,2012,50.4500644,30.5241037
Donetsk Ukraine,Tyzhden ,2012,48.0158753,37.8013407
Kiev Ukraine,Tyzhden ,2012,50.4500644,30.5241037
Donetsk Ukraine,Tyzhden ,2012,48.0158753,37.8013407
Kiev Ukraine,Tyzhden ,2012,50.4500644,30.5241037
Odessa Ukraine,7th ,2012,46.4852419,30.7433894
Ukraine,A Whisper to a Roar ,2012,49.4871968,31.2718321
Kiev Ukraine,A Year with Armin Van Buuren ,2012,50.4500644,30.5241037
Ukraine,Act of Valor ,2012,49.4871968,31.2718321
Chernobyl Ukraine,Chernobyl of Love ,2012,51.2705259,30.2194322
Kiev Ukraine,Chernobyl of Love ,2012,50.4500644,30.5241037
Kiev Ukraine,Deadline ,2012,50.4500644,30.5241037
Ukraine,Die vierte Macht ,2012,49.4871968,31.2718321
Donetsk Ukraine,Dikiy Duh ,2012,48.0158753,37.8013407
Ukraine,Dom s bashenkoy ,2012,49.4871968,31.2718321
Kiev Ukraine,Eastalgia ,2012,50.4500644,30.5241037
Ukraine,Euro 2012: The Score ,2012,49.4871968,31.2718321
Kiev Ukraine,Feathered Dreams ,2012,50.4500644,30.5241037
Artemivsk Donetsk Oblast Ukraine,First Day ,2012,48.60083235,37.9940003223644
Kiev Ukraine,Kazhdiy den' ,2012,50.4500644,30.5241037
Odessa Ukraine,Life Span of the Object in Frame ,2012,46.4852419,30.7433894
Kiev Ukraine,Life Span of the Object in Frame ,2012,50.4500644,30.5241037
Debaltsevo Ukraine,Life Span of the Object in Frame ,2012,48.3331084,38.4047549
Kiev Ukraine,Match ,2012,50.4500644,30.5241037
Ukraine,Match ,2012,49.4871968,31.2718321
Kiev Ukraine,Metelyk ,2012,50.4500644,30.5241037
Kiev Ukraine,N.I.V.U. ,2012,50.4500644,30.5241037
Donetsk Ukraine,Napadenie bananovoy kozhury ,2012,48.0158753,37.8013407
Donetsk Ukraine,Nos ,2012,48.0158753,37.8013407
Odessa Ukraine,Out of Sight_ Out of Mind ,2012,46.4852419,30.7433894
Kiev Ukraine,Overturn: Awakening of the Warrior ,2012,50.4500644,30.5241037
Kiev Ukraine,Party That Always... ,2012,50.4500644,30.5241037
Odessa Ukraine,Party That Always... ,2012,46.4852419,30.7433894
Kyiv Ukraine,Pyrih ,2012,50.4500644,30.5241037
