location,movie,year,lat,lon
Ukraine,My Grandmother Fanny Kaplan ,2016,49.4871968,31.2718321
Vinnytsia Ukraine,Oblastnaya doroga ,2016,49.2320162,28.467975
Kiev Ukraine,Pilgrims ,2016,50.4500644,30.5241037
Ukraine,My Grandmother Fanny Kaplan ,2016,49.4871968,31.2718321
Vinnytsia Ukraine,Oblastnaya doroga ,2016,49.2320162,28.467975
Kiev Ukraine,Pilgrims ,2016,50.4500644,30.5241037
Kyiv Ukraine,Piramida nad Kievom ,2016,50.4500644,30.5241037
Maidan Nezalezhnosti Kyiv Ukraine,Piramida nad Kievom ,2016,50.274822,31.7638428
Donetsk Ukraine,Piramida nad Kievom ,2016,48.0158753,37.8013407
Khreshchatyk Kyiv Ukraine,Piramida nad Kievom ,2016,50.4478094,30.5287584
Vinnytsia Ukraine,Piramida nad Kremlyom ,2016,49.2320162,28.467975
Luhansk Ukraine,Rebels with a Cause: The Kremlin's Wolves in Ukraine ,2016,48.5863123,39.3441392384396
Kyiv Ukraine,Ringing ,2016,50.4500644,30.5241037
Kiev Ukraine,Russkie evrei. Film pervyy. Do revolutsii ,2016,50.4500644,30.5241037
Kyiv Ukraine,Ringing ,2016,50.4500644,30.5241037
Kiev Ukraine,Russkie evrei. Film pervyy. Do revolutsii ,2016,50.4500644,30.5241037
Ukraine,Sacred ,2016,49.4871968,31.2718321
Odessa Ukraine,Secondo Me ,2016,46.4852419,30.7433894
Ukraine,SelfieParty ,2016,49.4871968,31.2718321
Kramatorsk Ukraine,Sergey ,2016,48.72880905,37.5670952784668
Kharkiv Ukraine,Sweetness ,2016,49.99142545,36.2722660718121
Odessa Ukraine,Symphony of Painting of Vadim Kucher-Kutsan ,2016,46.4852419,30.7433894
Mariupol Ukraine,Ten Seconds ,2016,47.1286047,37.5790940286384
Kiev Ukraine,The Fall of Flutter Green [Flutter Green vs. Hater 2] ,2016,50.4500644,30.5241037
Pripyat Ukraine,The Girl with All the Gifts ,2016,51.4010863,30.0663623
Chernobyl Ukraine,The Girl with All the Gifts ,2016,51.2705259,30.2194322
Ukraine,The Girl with All the Gifts ,2016,49.4871968,31.2718321
Ukraine,The Insanity of God ,2016,49.4871968,31.2718321
Kiev Ukraine,The Magnitsky Act. Behind the Scenes ,2016,50.4500644,30.5241037
Ukraine,Volunteers ,2016,49.4871968,31.2718321
Donetsk Ukraine,Vykhodnoy Dyadi Vasi ,2016,48.0158753,37.8013407
Khreshchatyk Kyiv Ukraine,What Worth Are 50 UAH on Khreshchatyk? ,2016,50.4478094,30.5287584
Maidan Nezalezhnosti Kyiv Ukraine,What Worth Are 50 UAH on Khreshchatyk? ,2016,50.274822,31.7638428
Kyiv Ukraine,What Worth Are 50 UAH on Khreshchatyk? ,2016,50.4500644,30.5241037
Donetsk Ukraine,What Worth Are 50 UAH on Khreshchatyk? ,2016,48.0158753,37.8013407
Bar Vinnytsia Oblast Ukraine,What Worth Are 50 UAH on Khreshchatyk? ,2016,49.0728061,27.6731377
Ukraine,Women of Maidan ,2016,49.4871968,31.2718321
Crimea Ukraine,Zoologiya ,2016,50.4505946,30.5214288
