location,movie,year,lat,lon
Ukraine,Da Venezia a Pechino in motorino ,2016,49.4871968,31.2718321
Kiev Ukraine,Dedushka ,2016,50.4500644,30.5241037
Kiev Ukraine,Dedushka ,2016,50.4500644,30.5241037
Ukraine,Grazhdanin Nikto ,2016,49.4871968,31.2718321
Ukraine,Hate Thy Neighbour ,2016,49.4871968,31.2718321
Ukraine,House of the Rescued Vodka Bears ,2016,49.4871968,31.2718321
Kiev Ukraine,Kill Skills ,2016,50.4500644,30.5241037
Trukhaniv Island Kiev Ukraine,Ne zarekaysya ,2016,50.46566,30.5487660062275
Vyshgorod Kiev Oblast Ukraine,Ne zarekaysya ,2016,50.5824332,30.485121
Kiev Ukraine,Pisma iz proshlogo ,2016,50.4500644,30.5241037
Kiev Ukraine,Pisma iz proshlogo ,2016,50.4500644,30.5241037
Kiev Ukraine,Pisma iz proshlogo ,2016,50.4500644,30.5241037
Kiev Ukraine,Pisma iz proshlogo ,2016,50.4500644,30.5241037
Kyiv Ukraine,Shulyavskiye bomzhi ,2016,50.4500644,30.5241037
Shulyavka Kyiv Ukraine,Shulyavskiye bomzhi ,2016,50.4547283,30.4488522
Kiev Ukraine,Svodnye sestry ,2016,50.4500644,30.5241037
Kiev Ukraine,Svodnye sestry ,2016,50.4500644,30.5241037
Kyiv Ukraine,The Coffee Translation ,2016,50.4500644,30.5241037
Vinnytsia Ukraine,The Coffee Translation ,2016,49.2320162,28.467975
Kiev Ukraine,True Sight ,2016,50.4500644,30.5241037
Kiev Ukraine,Vchera. Segodnya. Navsegda ,2016,50.4500644,30.5241037
Kiev Ukraine,Vchera. Segodnya. Navsegda ,2016,50.4500644,30.5241037
Kiev Ukraine,Vchera. Segodnya. Navsegda ,2016,50.4500644,30.5241037
Kiev Ukraine,Vchera. Segodnya. Navsegda ,2016,50.4500644,30.5241037
Kiev Ukraine,Zabud menya_ mama! ,2016,50.4500644,30.5241037
Kiev Ukraine,Zabud menya_ mama! ,2016,50.4500644,30.5241037
Kiev Ukraine,Zhenshchina ego mechty ,2016,50.4500644,30.5241037
Kiev Ukraine,Zhenshchina ego mechty ,2016,50.4500644,30.5241037
Kiev Ukraine,Zhenshchina ego mechty ,2016,50.4500644,30.5241037
Kiev Ukraine,Zhenshchina ego mechty ,2016,50.4500644,30.5241037
Kirovohrad Ukraine,A Letter to Tarkovsky ,2016,48.52110595,32.2495591949456
Odessa Ukraine,A Letter to Tarkovsky ,2016,46.4852419,30.7433894
Transcarpathia Ukraine,A Letter to Tarkovsky ,2016,48.4018932,22.9407173437716
Ukraine,Alisa w krainie wojny ,2016,49.4871968,31.2718321
Ukraine,All Things Ablaze ,2016,49.4871968,31.2718321
Kyiv Ukraine,An Aquarium in the Sea. The Story of the New York Group of Poets ,2016,50.4500644,30.5241037
Vinnytsia Ukraine,Beddosaidosaib&acircpanku ,2016,49.2320162,28.467975
Kiev Ukraine,Chungul ,2016,50.4500644,30.5241037
Kyiv Ukraine,Clockwise ,2016,50.4500644,30.5241037
Ternopil Ukraine,Cranium Intel ,2016,49.5557716,25.591886
Mykolaiv  Ukraine,Crimea as It Was ,2016,46.9713483,32.0042471
Odessa Ukraine,Crimea as It Was ,2016,46.4852419,30.7433894
Donetsk region Ukraine,Crimea as It Was ,2016,47.99410615,37.8076495805315
Kiev Ukraine,E.W.A ,2016,50.4500644,30.5241037
Ukraine,Fantazmer ,2016,49.4871968,31.2718321
Chernivtsi Ukraine,Gnizdo gorlytsi ,2016,48.2864702,25.9376532
Ukraine,Golden Love ,2016,49.4871968,31.2718321
Kiev Ukraine,Hotel Machine ,2016,50.4500644,30.5241037
Kyiv Ukraine,Hunters for Metal ,2016,50.4500644,30.5241037
Ukraine,I Am a Ukrainian: Personal Stories of a Revolution ,2016,49.4871968,31.2718321
Vinnytsia Ukraine,In Case You Were Wondering on Which OS Most ATM's Work ,2016,49.2320162,28.467975
Vinnytsia Ukraine,Interstelar 2: Operation Terra 2040 ,2016,49.2320162,28.467975
Kyiv Ukraine,Ivan Born ,2016,50.4500644,30.5241037
Zarvantsi Vinnytsia Oblast Ukraine,Ivan Born ,2016,49.254169,28.388819
Vinnytsia Ukraine,Ivan Born ,2016,49.2320162,28.467975
Donetsk Ukraine,Ivan Born ,2016,48.0158753,37.8013407
Khreshchatyk Kyiv Ukraine,Ivan Born ,2016,50.4478094,30.5287584
Vinnytsia Ukraine,Izgoy Odin. Mezhzvyozdnyie voyny. Istorii ,2016,49.2320162,28.467975
Crimea Ukraine,Kiedy ten wiatr ustanie ,2016,50.4505946,30.5214288
Ukraine,Konkursant. Smertonosne shou ,2016,49.4871968,31.2718321
Ukraine,Konkursant. Smertonosne shou ,2016,49.4871968,31.2718321
Vinnytsia Ukraine,Krapiva ,2016,49.2320162,28.467975
Chernobyl Ukraine,La supplication ,2016,51.2705259,30.2194322
Ukraine,La supplication ,2016,49.4871968,31.2718321
Ukraine,Le Retour ,2016,49.4871968,31.2718321
Brody Ukraine,Learning to Milk a Cow ,2016,50.0764118,25.1543834689757
Kiev Ukraine,Love ,2016,50.4500644,30.5241037
Ukraine,Lowcy miodu ,2016,49.4871968,31.2718321
Kharkiv Ukraine,Lyubovi stane na vsikh ,2016,49.99142545,36.2722660718121
Mariupol Ukraine,Mariupolis ,2016,47.1286047,37.5790940286384
Transcarpathia Ukraine,Marusia ,2016,48.4018932,22.9407173437716
Okruhla Ukraine,Marusia ,2016,48.087498,23.6710269
Donetsk region Ukraine,Miners' Stories ,2016,47.99410615,37.8076495805315
Vinnytsia Ukraine,Mortem ,2016,49.2320162,28.467975
Kyiv Ukraine,Must Escape ,2016,50.4500644,30.5241037
Ukraine,Mustafa ,2016,49.4871968,31.2718321
Ukraine,My Father's House ,2016,49.4871968,31.2718321
