location,movie,year,lat,lon
Ukraine,Songs of the Land ,2018,49.4871968,31.2718321
Poltava Ukraine,Brava Gente. Lungo viaggio per tornare ,2018,49.5897423,34.5507948
Kyiv Ukraine,Hutsulka Ksenya ,2018,50.4500644,30.5241037
Kiev Ukraine,Izaokas ,2018,50.4500644,30.5241037
Ukraine,My Unknown Soldier ,2018,49.4871968,31.2718321
Ukraine,Nematoma ,2018,49.4871968,31.2718321
Kyiv Ukraine,Polina ,2018,50.4500644,30.5241037
Ukraine,The Big Fight ,2018,49.4871968,31.2718321
Ukraine,Voroshylovhrad ,2018,49.4871968,31.2718321
Lviv Ukraine,Willy-nilly Hero ,2018,49.841952,24.0315921
