location,movie,year,lat,lon
Kiev Ukraine,Irina - En Diva Vender Hjem ,2017,50.4500644,30.5241037
Dnipro Ukraine,Irina - En Diva Vender Hjem ,2017,47.82035305,35.1329136267102
Kyiv Ukraine,PP Studio's Communal Universes ,2017,50.4500644,30.5241037
Donetsk Ukraine,PP Studio's Communal Universes ,2017,48.0158753,37.8013407
Crimea Ukraine,PP Studio's Communal Universes ,2017,50.4505946,30.5214288
Kharkiv Ukraine,PP Studio's Communal Universes ,2017,49.99142545,36.2722660718121
Vinnytsia Ukraine,Quality Content ,2017,49.2320162,28.467975
Donetsk Ukraine,Quality Content ,2017,48.0158753,37.8013407
Vinnytsia Ukraine,Quality Content ,2017,49.2320162,28.467975
Donetsk Ukraine,Quality Content ,2017,48.0158753,37.8013407
Vinnytsia Ukraine,Quality Content ,2017,49.2320162,28.467975
Donetsk National University Donetsk Ukraine,Quality Content ,2017,48.00503605,37.7973822509983
Donetsk Ukraine,Quality Content ,2017,48.0158753,37.8013407
Kiev Ukraine,Terra X: Die Europa-Saga ,2017,50.4500644,30.5241037
Vinnytsia Ukraine,Toaster Bonus ,2017,49.2320162,28.467975
Vinnytsia Ukraine,Watching Me ,2017,49.2320162,28.467975
Donetsk Ukraine,Watching Me ,2017,48.0158753,37.8013407
Kiev Ukraine,Zabytaya zhenshchina ,2017,50.4500644,30.5241037
Kiev Ukraine,Zabytaya zhenshchina ,2017,50.4500644,30.5241037
Kiev Ukraine,Zabytaya zhenshchina ,2017,50.4500644,30.5241037
Kiev Ukraine,Zabytaya zhenshchina ,2017,50.4500644,30.5241037
Ukraine,52-The Trolleybus ,2017,49.4871968,31.2718321
Ukraine,Alexander Zelentsov_ the Day of Chernobyl ,2017,49.4871968,31.2718321
Kiev Ukraine,Anatomy of a Male Ballet Dancer ,2017,50.4500644,30.5241037
Lviv Ukraine,Between Hell and Paradise ,2017,49.841952,24.0315921
Silets village Ukraine,Between Hell and Paradise ,2017,50.307938,24.206108
Lviv Ukraine,Between Hell and Paradise ,2017,49.841952,24.0315921
Kyiv Ukraine,Bitter Harvest ,2017,50.4500644,30.5241037
Ukraine,Bitter Harvest ,2017,49.4871968,31.2718321
Kramatorsk Ukraine,ChildHood ,2017,48.72880905,37.5670952784668
Vinnytsia Ukraine,Chistilishche ,2017,49.2320162,28.467975
Ukraine,Dirt ,2017,49.4871968,31.2718321
Ukraine,Easy ,2017,49.4871968,31.2718321
Kyiv Ukraine,How Can I Not Love You ,2017,50.4500644,30.5241037
Kyiv Ukraine,Infogolik ,2017,50.4500644,30.5241037
Kyiv Ukraine,Kobzar 2015 ,2017,50.4500644,30.5241037
Dubrivka Ukraine,Last Soldier ,2017,50.182011,23.617043
Ukraine,Leanders letzte Reise ,2017,49.4871968,31.2718321
Ukraine,Legends of Carpathians ,2017,49.4871968,31.2718321
Gammalsvenskby Zmiivka Ukraine,Lida ,2017,46.864578,33.583488
Kiev Ukraine,Lol: Rzhaka ,2017,50.4500644,30.5241037
Lviv Ukraine,Mama's Heart. Gongadze ,2017,49.841952,24.0315921
Kiev Ukraine,Mama's Heart. Gongadze ,2017,50.4500644,30.5241037
Kyiv Ukraine,Merry-Go-Round ,2017,50.4500644,30.5241037
Ukraine Black Sea,Miliard ,2017,45.1840293,33.3648181
Ukraine,Mirgorod ,2017,49.4871968,31.2718321
Ukraine,My Dear Children ,2017,49.4871968,31.2718321
Kiev Ukraine,Myr vashomy domy! ,2017,50.4500644,30.5241037
Ukraine,NO-ONE ,2017,49.4871968,31.2718321
Donetsk National University Donetsk Ukraine,Nomen Est Omen ,2017,48.00503605,37.7973822509983
Donetsk Ukraine,Nomen Est Omen ,2017,48.0158753,37.8013407
Vinnytsia Ukraine,Nomen Est Omen ,2017,49.2320162,28.467975
Lviv Ukraine,Novyy film pro mumiyu ,2017,49.841952,24.0315921
Vinnytsia Ukraine,Novyy film pro mumiyu ,2017,49.2320162,28.467975
Odessa Film Studio Odessa Ukraine,Okupatsiya ,2017,46.4594718,30.757276117965
Odessa Film Studio Odessa Ukraine,Okupatsiya ,2017,46.4594718,30.757276117965
Ukraine,Pravilo boya ,2017,49.4871968,31.2718321
Ukraine,Return to Chernobyl ,2017,49.4871968,31.2718321
Bilhorod-Dnistrovskyi fortress Odessa Ukraine,Shadow of War Friend or Foe Live Action Trailer ,2017,46.2005105,30.3491024
Kyiv Ukraine,Shlakoblok ,2017,50.4500644,30.5241037
Maidan Nezalezhnosti Kyiv Ukraine,Shlakoblok ,2017,50.274822,31.7638428
Vinnytsia Ukraine,Shlakoblok ,2017,49.2320162,28.467975
Ukraine,Soviet Hippies ,2017,49.4871968,31.2718321
Ukraine,Stains ,2017,49.4871968,31.2718321
Kyiv Ukraine,Taste of Coffee ,2017,50.4500644,30.5241037
Ukraine,Thanks to Luck and Good People ,2017,49.4871968,31.2718321
Vinnytsia Ukraine,Shlakoblok ,2017,49.2320162,28.467975
Ukraine,Soviet Hippies ,2017,49.4871968,31.2718321
Ukraine,Stains ,2017,49.4871968,31.2718321
Kyiv Ukraine,Taste of Coffee ,2017,50.4500644,30.5241037
Ukraine,Thanks to Luck and Good People ,2017,49.4871968,31.2718321
Ukraine,The Ambulance Man ,2017,49.4871968,31.2718321
Ukraine,The Bobot ,2017,49.4871968,31.2718321
Kyiv Ukraine,The Bobot ,2017,50.4500644,30.5241037
Kyiv Ukraine,The Least Interesting Events of Kyiv Comic Con ,2017,50.4500644,30.5241037
Khreshchatyk Kyiv Ukraine,The Least Interesting Events of Kyiv Comic Con ,2017,50.4478094,30.5287584
Ukraine,The Line ,2017,49.4871968,31.2718321
Lviv Ukraine,The Raid ,2017,49.841952,24.0315921
Pereiaslav-Khmelnytskyi Kiev Oblast Ukraine,The Raid ,2017,50.0643984,31.4447327
Maidan Nezalezhnosti Kyiv Ukraine,The War of Chimeras ,2017,50.274822,31.7638428
Dnipropetrovsk Ukraine,The War of Chimeras ,2017,48.4680221,35.0417711
Zaporizhia Ukraine,War Mothers ,2017,47.8507859,35.1182867
Kyiv Ukraine,Xia dao lian meng ,2017,50.4500644,30.5241037
Ukraine,Ystyk Pishter Filmer 3 ,2017,49.4871968,31.2718321
