location,movie,year,lat,lon
Kiev Ukraine,Dva plyus dva ,2015,50.4500644,30.5241037
Kiev Ukraine,Dva plyus dva ,2015,50.4500644,30.5241037
Kiev Ukraine,Dva plyus dva ,2015,50.4500644,30.5241037
Kiev Ukraine,Dva plyus dva ,2015,50.4500644,30.5241037
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Donetsk Ukraine,Egg Cetera ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Donetsk Ukraine,Egg Cetera ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Egg Cetera ,2015,49.2320162,28.467975
Ukraine,Football Freestyler 2 ,2015,49.4871968,31.2718321
Kiev Ukraine,Interrupt This Program ,2015,50.4500644,30.5241037
Khortytsia Ukraine,Island Stories ,2015,47.819437,35.1015350970836
Vinnytsia Ukraine,Master When ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Master When ,2015,49.2320162,28.467975
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kovel Ukraine,Noble Soul ,2015,51.2120538,24.708894
Lutsk Ukraine,Noble Soul ,2015,50.7450733,25.320078
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Lutsk Ukraine,Noble Soul ,2015,50.7450733,25.320078
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Lutsk Ukraine,Noble Soul ,2015,50.7450733,25.320078
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kovel Ukraine,Noble Soul ,2015,51.2120538,24.708894
Krasne Lviv oblast Ukraine,Noble Soul ,2015,49.9125099,24.608186
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Kiev Ukraine,Noble Soul ,2015,50.4500644,30.5241037
Vinnytsia Ukraine,The Artiodactyls on Ice ,2015,49.2320162,28.467975
Vinnytsia Ukraine,The Artiodactyls on Ice ,2015,49.2320162,28.467975
Vinnytsia Ukraine,The Artiodactyls on Ice ,2015,49.2320162,28.467975
Vinnytsia Ukraine,The Artiodactyls on Ice ,2015,49.2320162,28.467975
Vinnytsia Ukraine,The Artiodactyls on Ice ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Under Construction ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Under Construction ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Under Construction ,2015,49.2320162,28.467975
Vinnytsia Ukraine,Urban Nature ,2015,49.2320162,28.467975
Kyiv Ukraine,Urban Nature ,2015,50.4500644,30.5241037
Crimea Ukraine,Urban Nature ,2015,50.4505946,30.5214288
Donetsk Ukraine,Urban Nature ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Urban Nature ,2015,49.2320162,28.467975
Ukraine,5baksiv.net ,2015,49.4871968,31.2718321
Vinnytsia Ukraine,8 mm Marta ,2015,49.2320162,28.467975
Donetsk Ukraine,8 mm Marta ,2015,48.0158753,37.8013407
Crimea Ukraine,A Struggle for Home: The Crimean Tatars ,2015,50.4505946,30.5214288
Ukraine,Akiyo ,2015,49.4871968,31.2718321
Khust Ukraine,Angel Town ,2015,48.1764917,23.291166
Dilove Ukraine,Angel Town ,2015,47.9359976,24.1739416
Luh Ukraine,Angel Town ,2015,50.18383,23.5746
Vinnytsia Ukraine,Bez dvadtsati sem' ,2015,49.2320162,28.467975
Kyiv Ukraine,Bez dvadtsati sem' ,2015,50.4500644,30.5241037
Ukraine,Bitva za Sevastopol ,2015,49.4871968,31.2718321
Kiev Ukraine,Bitva za Sevastopol ,2015,50.4500644,30.5241037
Odessa Ukraine,Bitva za Sevastopol ,2015,46.4852419,30.7433894
Kamyanets-Podilsky Ukraine,Bitva za Sevastopol ,2015,48.6879807,26.6020218
Donetsk Ukraine,Book of the Senseless ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Book of the Senseless ,2015,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Book of the Senseless ,2015,49.2242641,28.4277918984125
Donetsk National University Donetsk Ukraine,Book of the Senseless ,2015,48.00503605,37.7973822509983
Chernobyl Ukraine,Chernobyl ,2015,51.2705259,30.2194322
Mariupol Ukraine,Crocodile Gennadiy ,2015,47.1286047,37.5790940286384
Ukraine,Crocodile Gennadiy ,2015,49.4871968,31.2718321
Donetsk National University Donetsk Ukraine,Debyut DonNU ,2015,48.00503605,37.7973822509983
Vinnytsia Ukraine,Debyut DonNU ,2015,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Debyut DonNU ,2015,49.2242641,28.4277918984125
Kherson Ukraine,Dixieland ,2015,46.65086815,32.6023027991877
Kharkiv Ukraine,Dixieland ,2015,49.99142545,36.2722660718121
Vinnytsia Ukraine,Don NU ,2015,49.2320162,28.467975
Donetsk National University Vinnytsia Ukraine,Don NU ,2015,49.2239806,28.4270645
Kristal Building Vinnytsia Ukraine,Don NU ,2015,49.2242641,28.4277918984125
Donetsk National University Donetsk Ukraine,Don NU ,2015,48.00503605,37.7973822509983
Vinnytsia Ukraine,Dozhdliviy aprel' ,2015,49.2320162,28.467975
Donetsk National University Donetsk Ukraine,Dozhdliviy aprel' ,2015,48.00503605,37.7973822509983
Kristal Building Vinnytsia Ukraine,Dozhdliviy aprel' ,2015,49.2242641,28.4277918984125
Odessa Ukraine,Dreaded Tomorrow ,2015,46.4852419,30.7433894
Odessa Ukraine,Expected Guests ,2015,46.4852419,30.7433894
Odessa Ukraine,Expected Guests ,2015,46.4852419,30.7433894
Ukraine,Firing Line 2015 ,2015,49.4871968,31.2718321
Donetsk Oblast Ukraine,Frontier Church ,2015,47.9212914,37.7809825
Dnipropetrovsk Ukraine,Frontier Church ,2015,48.4680221,35.0417711
Pervomaiske Donetsk Oblast Ukraine,Frontier Church ,2015,48.5361669,37.0780501038117
Krasnohorivka Donetsk Oblast Ukraine,Frontier Church ,2015,48.00570705,37.5175364438877
Marinka Donetsk Oblast Ukraine,Frontier Church ,2015,47.9401242,37.5022312
Ukraine,Frontier Church ,2015,49.4871968,31.2718321
Prypiat Ukraine,Graffiti ,2015,51.4061237,30.0571098
Ukraine,Grustnoe litso ,2015,49.4871968,31.2718321
Kiev Ukraine,Holy Fools ,2015,50.4500644,30.5241037
Ukraine,Human ,2015,49.4871968,31.2718321
Ukraine,Immigraniada ,2015,49.4871968,31.2718321
Donetsk National University Vinnytsia Ukraine,Khimichne shou DonNU ,2015,49.2239806,28.4270645
Kristal Building Vinnytsia Ukraine,Khimichne shou DonNU ,2015,49.2242641,28.4277918984125
Vinnytsia Ukraine,Khimichne shou DonNU ,2015,49.2320162,28.467975
Kiev Ukraine,Kraina ,2015,50.4500644,30.5241037
Lviv Ukraine,Lady and Bread ,2015,49.841952,24.0315921
Transcarpathia Ukraine,Lady and Bread ,2015,48.4018932,22.9407173437716
Zakarpattia Oblast Ukraine,Lady and Bread ,2015,48.2953664,23.4466092
Kiev Ukraine,Le cheval de Troie du Kremlin ,2015,50.4500644,30.5241037
Odessa Ukraine,Life of Ukrainian Youth Generation Before the Maidan ,2015,46.4852419,30.7433894
Lviv Ukraine,Life of Ukrainian Youth Generation Before the Maidan ,2015,49.841952,24.0315921
Kyiv Ukraine,Life of Ukrainian Youth Generation Before the Maidan ,2015,50.4500644,30.5241037
Pridnestrovie Ukraine,Life of Ukrainian Youth Generation Before the Maidan ,2015,46.1869122,30.3390332
Kyiv Ukraine,May 9th ,2015,50.4500644,30.5241037
Ukraine,Music of Survival: The Story of the Ukrainian Bandurist Chorus ,2015,49.4871968,31.2718321
Lviv Ukraine,My Nazi Legacy ,2015,49.841952,24.0315921
Kramatorsk Ukraine,On the East ,2015,48.72880905,37.5670952784668
Klevan Ukraine,Once Upon a Mine ,2015,50.7464848,26.006327
Kiev Ukraine,People's War ,2015,50.4500644,30.5241037
Mariupol Ukraine,People's War ,2015,47.1286047,37.5790940286384
Zaporizhia Ukraine,People's War ,2015,47.8507859,35.1182867
Lviv Ukraine,Pershyy den ,2015,49.841952,24.0315921
Kiev Ukraine,Pod elektricheskimi oblakami ,2015,50.4500644,30.5241037
Ukraine,Pod elektricheskimi oblakami ,2015,49.4871968,31.2718321
Kyiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,50.4500644,30.5241037
Dnipropetrovsk Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,48.4680221,35.0417711
Kharkiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.99142545,36.2722660718121
River Kharkiv Kharkiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.99142545,36.2722660718121
Donetsk Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.2320162,28.467975
Kyiv Ukraine,Pride of Ukraine ,2015,50.4500644,30.5241037
Kyiv Ukraine,Raskop ,2015,50.4500644,30.5241037
Hrebeni Ukraine,Raskop ,2015,50.020061,30.974581
Vinnytsia Ukraine,Reading the Book of the Senseless ,2015,49.2320162,28.467975
Donetsk Ukraine,Reading the Book of the Senseless ,2015,48.0158753,37.8013407
Ukraine,Road Through War ,2015,49.4871968,31.2718321
Vinnytsia Ukraine,Rpik ,2015,49.2320162,28.467975
Donetsk Ukraine,Rpik ,2015,48.0158753,37.8013407
Kristal Building Vinnytsia Ukraine,Rpik ,2015,49.2242641,28.4277918984125
Donetsk National University Donetsk Ukraine,Rpik ,2015,48.00503605,37.7973822509983
Ukraine,Pod elektricheskimi oblakami ,2015,49.4871968,31.2718321
Kyiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,50.4500644,30.5241037
Dnipropetrovsk Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,48.4680221,35.0417711
Kharkiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.99142545,36.2722660718121
River Kharkiv Kharkiv Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.99142545,36.2722660718121
Donetsk Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Pozdravlenie Istoricheskomu fakultetu ot vypusknikov ,2015,49.2320162,28.467975
Kyiv Ukraine,Pride of Ukraine ,2015,50.4500644,30.5241037
Kyiv Ukraine,Raskop ,2015,50.4500644,30.5241037
Hrebeni Ukraine,Raskop ,2015,50.020061,30.974581
Vinnytsia Ukraine,Reading the Book of the Senseless ,2015,49.2320162,28.467975
Donetsk Ukraine,Reading the Book of the Senseless ,2015,48.0158753,37.8013407
Ukraine,Road Through War ,2015,49.4871968,31.2718321
Vinnytsia Ukraine,Rpik ,2015,49.2320162,28.467975
Donetsk Ukraine,Rpik ,2015,48.0158753,37.8013407
Kristal Building Vinnytsia Ukraine,Rpik ,2015,49.2242641,28.4277918984125
Donetsk National University Donetsk Ukraine,Rpik ,2015,48.00503605,37.7973822509983
Vinnytsia Ukraine,Salat Kaligula ,2015,49.2320162,28.467975
Donetsk National University Donetsk Ukraine,Sergiy Zhadan v DonNU ,2015,48.00503605,37.7973822509983
Vinnytsia Ukraine,Sergiy Zhadan v DonNU ,2015,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Sergiy Zhadan v DonNU ,2015,49.2242641,28.4277918984125
Donetsk Ukraine,Spetsyfichni typy komunikatsiyi u mizhnarodnykh informatsiynykh ta kulturnih vidnosynakh: Ukrayinskiy vymir universalnogo kodu kultovogo kino ,2015,48.0158753,37.8013407
Vinnytsia Ukraine,Sergiy Zhadan v DonNU ,2015,49.2320162,28.467975
Kristal Building Vinnytsia Ukraine,Sergiy Zhadan v DonNU ,2015,49.2242641,28.4277918984125
Donetsk Ukraine,Spetsyfichni typy komunikatsiyi u mizhnarodnykh informatsiynykh ta kulturnih vidnosynakh: Ukrayinskiy vymir universalnogo kodu kultovogo kino ,2015,48.0158753,37.8013407
Kyiv Ukraine,Spetsyfichni typy komunikatsiyi u mizhnarodnykh informatsiynykh ta kulturnih vidnosynakh: Ukrayinskiy vymir universalnogo kodu kultovogo kino ,2015,50.4500644,30.5241037
Donetsk National University Donetsk Ukraine,Spetsyfichni typy komunikatsiyi u mizhnarodnykh informatsiynykh ta kulturnih vidnosynakh: Ukrayinskiy vymir universalnogo kodu kultovogo kino ,2015,48.00503605,37.7973822509983
Kyiv Ukraine,Teper ya budu lubyty tebe ,2015,50.4500644,30.5241037
Kiev Ukraine,The Baldlands ,2015,50.4500644,30.5241037
Ukraine,The Face of Ukraine: Casting Oksana Baiul ,2015,49.4871968,31.2718321
Odessa Ukraine,The Order ,2015,46.4852419,30.7433894
Ukraine,The Russian Woodpecker ,2015,49.4871968,31.2718321
Chernobyl Ukraine,The Russian Woodpecker ,2015,51.2705259,30.2194322
Donetsk Airport Donetsk Ukraine,The Ukrainians ,2015,48.0687975,37.744838207205
